Model,Target,Seed,MSE,RMSE,MAE,R2
Ridge,popularity,42,1.7261372014538006,1.3138254075233133,0.8703172955717743,0.17851177702201815
Ridge,vote_average,42,8.978628648000395,2.996435990973342,2.58861813313366,0.11573307497695395
LASSO,popularity,42,1.7965588850406708,1.3403577451712922,0.9188373968311894,0.14499730108107178
LASSO,vote_average,42,9.137364190953699,3.0228073360625713,2.6793337915467075,0.10009988688531346
Ridge,popularity,7,1.4076184095147823,1.186430954381578,0.8506850620851797,0.21155736137600645
Ridge,vote_average,7,9.072430418754637,3.0120475458987426,2.602098306534006,0.11868372296326646
LASSO,popularity,7,1.4903651227599026,1.2208051125220203,0.9055067977886454,0.16520883645799644
LASSO,vote_average,7,9.21742438908324,3.036021144373543,2.686582988596453,0.1045986828775779
Ridge,popularity,21,2.5354092238027732,1.5922968390984054,0.8990623217335685,0.15418241574694258
Ridge,vote_average,21,9.131646130778407,3.021861368557202,2.637564554732924,0.1303688654941798
LASSO,popularity,21,2.624941798087193,1.620167213002162,0.9577504774726103,0.12431417002855583
LASSO,vote_average,21,9.350258137962253,3.0578191800631793,2.7319383241839903,0.10954985815407858
Ridge,popularity,84,1.4463491979605136,1.2026425894506287,0.8186098819276897,0.2289580264460621
Ridge,vote_average,84,9.053923407648108,3.0089738130545616,2.60093962339342,0.12555615849679258
LASSO,popularity,84,1.5397509981069013,1.2408670348215805,0.8802033441599428,0.17916596487482372
LASSO,vote_average,84,9.1921920412561,3.0318628005330486,2.6934250763646377,0.11220193075620477
Ridge,popularity,63,1.8281758781672768,1.3521005429210051,0.8630468234314087,0.17928591531812998
Ridge,vote_average,63,8.898818989215057,2.9830888336110704,2.597037869662927,0.13125401865479325
LASSO,popularity,63,1.910958936581306,1.382374383653468,0.9193554269330657,0.14212252046930063
LASSO,vote_average,63,9.127330130453306,3.0211471547167816,2.6940587082164487,0.10894564988316979
NGCB-S,popularity,42,4.985295295715332,2.232777484595214,1.4438832998275757,-1.372558355331421
NGCB-S,vote_average,42,18.665910720825195,4.320406314321049,3.2912025451660156,-0.8383259773254395
NGCB-S,popularity,7,5.549538612365723,2.355745871770918,1.570365309715271,-2.1084368228912354
NGCB-S,vote_average,7,20.11577606201172,4.4850614334713095,3.44397234916687,-0.9540915489196777
NGCB-S,popularity,21,4.027230262756348,2.0067960192197782,1.2333142757415771,-0.3434920310974121
NGCB-S,vote_average,21,18.920194625854492,4.349735006394584,3.2796170711517334,-0.8018207550048828
NGCB-S,popularity,84,3.7315707206726074,1.9317273929497938,1.3024086952209473,-0.9892829656600952
NGCB-S,vote_average,84,17.553089141845703,4.189640693644946,3.2632100582122803,-0.6953083276748657
NGCB-S,popularity,63,6.049075126647949,2.4594867608198157,1.5668504238128662,-1.7155818939208984
NGCB-S,vote_average,63,17.775388717651367,4.216086896359155,3.174466371536255,-0.7353200912475586
NGCB-L,popularity,42,3.5858535766601562,1.8936350167495732,1.2541155815124512,-0.7065482139587402
NGCB-L,vote_average,42,15.233641624450684,3.9030298006101214,2.9757847785949707,-0.5002964735031128
NGCB-L,popularity,7,2.9360604286193848,1.7134936325003909,1.2384469509124756,-0.6445616483688354
NGCB-L,vote_average,7,14.557259559631348,3.815397693508679,2.9161417484283447,-0.41412484645843506
NGCB-L,popularity,21,4.153905391693115,2.0381131940334214,1.3003416061401367,-0.3857511281967163
NGCB-L,vote_average,21,14.922959327697754,3.8630246346221706,3.002084970474243,-0.42115330696105957
NGCB-L,popularity,84,4.223147869110107,2.055029894943163,1.343996286392212,-1.251340389251709
NGCB-L,vote_average,84,15.041778564453125,3.8783731852998784,2.939293384552002,-0.4527614116668701
NGCB-L,popularity,63,3.5569591522216797,1.8859902312105647,1.2443798780441284,-0.5968083143234253
NGCB-L,vote_average,63,14.637812614440918,3.825939442077059,2.9029979705810547,-0.42901456356048584
