Target,Model,Metric,Mean,CI_95,Format_Str
popularity,Ridge,MSE,1.7887379821798295,0.5640607578846353,1.7887 ± 0.5641
popularity,Ridge,RMSE,1.329459266674986,0.20249042831021197,1.3295 ± 0.2025
popularity,Ridge,MAE,0.8603442769499242,0.03641756272161821,0.8603 ± 0.0364
popularity,Ridge,R2,0.19049909918183186,0.03678591936614671,0.1905 ± 0.0368
popularity,LASSO,MSE,1.8725151481151947,0.5656606649559559,1.8725 ± 0.5657
popularity,LASSO,RMSE,1.3609142978341047,0.19841105970309675,1.3609 ± 0.1984
popularity,LASSO,MAE,0.9163306886370908,0.034862760888078895,0.9163 ± 0.0349
popularity,LASSO,R2,0.15116175858234968,0.026500563783811538,0.1512 ± 0.0265
popularity,NGCB-S,MSE,4.868542003631592,1.221565693359188,4.8685 ± 1.2216
popularity,NGCB-S,RMSE,2.197306705871104,0.278978317611064,2.1973 ± 0.2790
popularity,NGCB-S,MAE,1.4233644008636475,0.18970239113289228,1.4234 ± 0.1897
popularity,NGCB-S,R2,-1.3058704137802124,0.8427833565996339,-1.3059 ± 0.8428
popularity,NGCB-L,MSE,3.6911852836608885,0.6500733790303642,3.6912 ± 0.6501
popularity,NGCB-L,RMSE,1.9172523938874229,0.17187373576610052,1.9173 ± 0.1719
popularity,NGCB-L,MAE,1.2762560606002809,0.05589099266413644,1.2763 ± 0.0559
popularity,NGCB-L,R2,-0.7170019388198853,0.39996619716850673,-0.7170 ± 0.4000
vote_average,Ridge,MSE,9.02708951887932,0.11193882374892573,9.0271 ± 0.1119
vote_average,Ridge,RMSE,3.0044815104189837,0.018644218043912027,3.0045 ± 0.0186
vote_average,Ridge,MAE,2.6052516974913873,0.02336837565949011,2.6053 ± 0.0234
vote_average,Ridge,R2,0.1243191681171972,0.008595785555621715,0.1243 ± 0.0086
vote_average,LASSO,MSE,9.204913777941718,0.11110206237929425,9.2049 ± 0.1111
vote_average,LASSO,RMSE,3.0339315231498247,0.018274555539788843,3.0339 ± 0.0183
vote_average,LASSO,MAE,2.6970677777816476,0.025315210605721027,2.6971 ± 0.0253
vote_average,LASSO,R2,0.1070792017112689,0.005912391904963402,0.1071 ± 0.0059
vote_average,NGCB-S,MSE,18.606071853637694,1.26933465981159,18.6061 ± 1.2693
vote_average,NGCB-S,RMSE,4.312186068838209,0.14641083387896645,4.3122 ± 0.1464
vote_average,NGCB-S,MAE,3.290493679046631,0.12083317062466477,3.2905 ± 0.1208
vote_average,NGCB-S,R2,-0.8049733400344848,0.12453303011607121,-0.8050 ± 0.1245
vote_average,NGCB-L,MSE,14.878690338134765,0.3489317485987665,14.8787 ± 0.3489
vote_average,NGCB-L,RMSE,3.8571529512235814,0.045228133149855625,3.8572 ± 0.0452
vote_average,NGCB-L,MAE,2.9472605705261232,0.05123417782414219,2.9473 ± 0.0512
vote_average,NGCB-L,R2,-0.4434701204299927,0.043385945508302104,-0.4435 ± 0.0434
